variant,num_frames,avg_delta_psnr,avg_delta_ssim,avg_psnr_restored_vs_gt,avg_ssim_restored_vs_gt,rank_delta_psnr,rank_delta_ssim,rank_psnr_restored,rank_ssim_restored,mean_rank
combo_volumetric_blur__heterogeneous_density__secondary_scattering__fog_coupled_noise,900,5.090334,0.127298,14.001329,0.894846,9,18,13,5,11.2500
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering__fog_coupled_noise,900,5.075760,0.127583,13.928344,0.894193,11,17,16,9,13.2500
combo_volumetric_blur__heterogeneous_density__fog_coupled_noise,900,4.861774,0.124485,13.928476,0.894462,18,23,15,7,15.7500
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__fog_coupled_noise,900,4.843653,0.124739,13.853424,0.893804,19,22,21,11,18.2500
combo_volumetric_blur__heterogeneous_density__secondary_scattering,900,5.019472,0.122081,13.928961,0.889582,15,27,14,21,19.2500
combo_volumetric_blur__heterogeneous_density__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,4.291295,0.114425,14.363127,0.903764,38,36,2,1,19.2500
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,4.268483,0.114647,14.283776,0.903128,39,35,3,2,19.7500
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering,900,5.019630,0.122486,13.870733,0.889049,14,26,19,22,20.2500
combo_volumetric_blur__secondary_scattering,900,5.557521,0.144152,13.359585,0.882815,1,4,42,35,20.5000
combo_volumetric_blur__secondary_scattering__fog_coupled_noise,900,5.432646,0.146800,13.236622,0.885531,3,1,50,29,20.7500
combo_volumetric_blur,900,5.423693,0.141873,13.390082,0.883441,4,8,39,33,21.0000
combo_volumetric_blur__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,4.510551,0.129521,13.512408,0.893801,30,13,32,12,21.7500
combo_volumetric_blur__nonlinear_gamma__secondary_scattering,900,5.538822,0.144232,13.299648,0.882133,2,3,47,37,22.2500
