variant,num_frames,avg_psnr_degraded_vs_gt,avg_ssim_degraded_vs_gt,avg_psnr_restored_vs_gt,avg_ssim_restored_vs_gt,avg_delta_psnr,avg_delta_ssim,avg_mean_transmission,avg_std_transmission
clean,900,99.000000,1.000000,17.013048,0.860458,-81.986952,-0.139542,1.000000,0.000000
combo_volumetric_blur,900,7.966389,0.741568,13.390082,0.883441,5.423693,0.141873,0.390128,0.290863
combo_heterogeneous_density,900,9.083221,0.769980,13.377086,0.874665,4.293865,0.104685,0.486638,0.324315
combo_nonlinear_gamma,900,7.937808,0.740850,12.872076,0.867713,4.934268,0.126862,0.387234,0.291682
combo_secondary_scattering,900,7.813450,0.738682,12.890383,0.867698,5.076933,0.129016,0.390128,0.290863
combo_adaptive_airlight,900,9.196574,0.767309,13.361957,0.874884,4.165384,0.107575,0.390128,0.290863
combo_fog_coupled_noise,900,7.978229,0.741616,12.795409,0.871696,4.817181,0.130080,0.390128,0.290863
combo_volumetric_blur__heterogeneous_density,900,9.065892,0.769941,13.839489,0.888460,4.773597,0.118518,0.486638,0.324315
combo_volumetric_blur__nonlinear_gamma,900,7.926330,0.740830,13.333185,0.882824,5.406855,0.141994,0.387234,0.291682
combo_volumetric_blur__secondary_scattering,900,7.802064,0.738662,13.359585,0.882815,5.557521,0.144152,0.390128,0.290863
combo_volumetric_blur__adaptive_airlight,900,9.178479,0.767271,13.688519,0.888791,4.510040,0.121520,0.390128,0.290863
combo_volumetric_blur__fog_coupled_noise,900,7.966272,0.741593,13.174438,0.885274,5.208165,0.143681,0.390128,0.290863
combo_heterogeneous_density__nonlinear_gamma,900,9.025708,0.769067,13.322549,0.874065,4.296841,0.104998,0.483312,0.325797
combo_heterogeneous_density__secondary_scattering,900,8.926149,0.767538,13.449459,0.875765,4.523310,0.108227,0.486638,0.324315
combo_heterogeneous_density__adaptive_airlight,900,10.257851,0.791808,13.865309,0.881956,3.607458,0.090149,0.486638,0.324315
